features,label
"[-668.2393      47.053772    19.03576     13.298295     6.059318
    5.672087     2.4958973    5.864724     4.642465     1.3015552
   -4.922157     1.6359851   -5.5139103]",Abnormal
"[-576.4414      50.950752    17.626986     9.873617     5.0933175
    4.8351912    2.4293404    6.5266137    3.9966586    1.4085771
   -5.066832     1.6817002   -6.8416224]",Abnormal
"[-677.18945     48.260307    24.607899    18.268959    12.832572
   12.801958     7.7537923   11.5220585    9.458428     6.8204217
    1.1738752    5.5273557   -3.221384 ]",Abnormal
"[-588.565       65.58205     26.011595    16.883192    10.602725
   14.847111     8.943263    11.622573    10.139144     6.326783
   -0.6583248    4.897452    -5.2271724]",Abnormal
"[-5.3913660e+02  6.2166023e+01  1.4446465e+01  4.7766266e+00
  2.0875762e+00  4.3532481e+00  8.5827336e-03  4.1919026e+00
  2.8216517e+00  1.1312128e+00 -6.1513615e+00  1.9653445e+00
 -8.1193562e+00]",Abnormal
"[-548.7331      63.889538    25.46536     18.745731    13.312605
   12.741311     7.1656485   11.727827     9.723349     5.4447074
   -2.811551     5.997904    -4.0111914]",Abnormal
"[-614.70154     72.89578     38.071598    22.124388    11.65127
    8.253679     2.2858002    7.981238     6.85454      5.587636
    1.7435213    9.036444     2.0063553]",Abnormal
"[-5.2639313e+02  7.8534050e+01  2.2986479e+01  2.3823828e+01
  1.2269557e+01  1.1040953e+01  2.7144580e+00  5.4076853e+00
  9.5205564e+00  6.7419710e+00  1.8513343e+00  4.8756337e+00
  2.8863531e-01]",Abnormal
"[-5.4137457e+02  7.8442116e+01  1.7587246e+01  2.0759109e+01
  6.4071765e+00  6.4834070e+00  5.0338662e-01  4.0978103e+00
  4.8221369e+00  1.9534076e+00 -1.1048634e+00  1.6038882e+00
 -4.2873926e+00]",Abnormal
"[-512.5186       77.319496      1.8192743    10.564817     -6.120059
   -0.7388034    -9.3378       -0.52673024   -1.4780637    -7.572427
   -2.855234     -3.5057123    -7.310158  ]",Abnormal
"[-500.57892     75.73284     16.13223     20.035252     4.199189
    6.098995     0.5817183    2.754593     2.8946474   -2.6125119
   -0.6095004   -1.0136276   -5.042137 ]",Abnormal
"[-5.4164569e+02  8.3342659e+01  1.4047926e+01  1.3298425e+01
  8.7971270e-01 -5.2138782e+00  2.2994967e+00  2.6881046e+00
  4.6621070e+00  4.8831072e+00 -2.5429993e+00 -4.4754669e-02
 -9.3405533e+00]",Controlled
"[-5.3980725e+02  7.1833107e+01  1.6619919e+01  1.7320381e+01
  8.4148054e+00 -3.6854252e-01  9.5431519e+00  9.3930216e+00
  8.1732311e+00  4.3553371e+00 -5.8818802e-02  1.1327329e+00
 -5.8543053e+00]",Controlled
"[-537.35693     83.009964    21.39693     22.513186    11.272352
    3.7177143   11.641372    10.825354     9.204967     5.506693
   -1.1485701    2.0360854   -5.71879  ]",Controlled
"[-557.37317     75.27489     15.265522    23.85646      8.974687
    5.099401     7.5562477   11.071707     8.742017     3.664509
   -3.3722203    1.3881197   -6.7142577]",Controlled
"[-5.3139661e+02  8.7408295e+01  2.5001616e+00  1.0055983e+01
 -3.0362225e+00 -7.0232897e+00 -5.0073957e+00  7.8428822e+00
  3.0664582e+00  1.0447371e+00 -4.1670990e+00 -3.4920466e-01
 -6.0295258e+00]",Controlled
"[-5.1986633e+02  9.0383492e+01  1.6255180e+01  2.5169811e+01
  6.1525660e+00  2.7110026e+00  4.4528236e+00  1.0043383e+01
  9.2424774e+00  4.7576046e+00  2.1978748e-01  2.8739083e+00
 -4.5083041e+00]",Controlled
"[-610.9579      89.16679     29.440165    26.197275    12.715969
    5.8454785   10.770615    13.1445465    7.0545945    4.1917367
    1.346243    -1.837024    -4.1730027]",Controlled
"[-587.6265      86.90875     18.8046      24.165068     7.343232
   12.346645    14.628796    12.068925     9.538601     2.2155366
    0.9535117   -2.815793    -9.628558 ]",Controlled
"[-561.1155       63.83428      20.384748     22.000208      7.730734
   10.000414     13.430973     12.8444        9.041049      2.0170045
   -0.69334304   -1.3350955    -9.759523  ]",Controlled
"[-577.9725      93.27679     23.752783    31.513721    11.355285
   16.131664    18.419426    15.982181    13.814391     4.648787
    1.8972942    1.8118724   -7.8182125]",Controlled
"[-5.9959436e+02  7.6344154e+01  1.5002586e+01  2.6974096e+01
  8.8440294e+00  1.3989360e+01  1.4219496e+01  1.3737740e+01
  1.0677135e+01  2.9125521e+00  9.3860346e-01  2.9186580e-01
 -7.9952254e+00]",Controlled
"[-540.3808       68.78368      16.514385     13.901238      0.88521945
    6.397681      6.625117     10.984498      5.6008053    -2.8486388
   -3.1272666    -3.469066    -10.472378  ]",Controlled
"[-559.6803      88.2153      19.626083    31.966795     9.446312
   14.379424    12.198994    14.767309     9.707894     2.2809882
    2.1319952    2.100174    -4.062347 ]",Controlled
"[-6.27174438e+02  6.76465530e+01  3.33480873e+01  3.11324425e+01
  1.63332596e+01  1.53663254e+01  1.53334112e+01  1.40719185e+01
  9.87725544e+00  2.15202904e+00 -5.41534603e-01 -1.25191545e+00
 -4.96617365e+00]",Controlled
